"gameId","playId","event"
2018090905,1992,"punt_blocked"
2018092000,801,"punt_blocked"
2018092300,2749,"punt_blocked"
2018092301,120,"punt_blocked"
2018092310,1513,"punt_blocked"
2018100707,2744,"punt_blocked"
2018100711,253,"punt_blocked"
2018101403,1257,"punt_blocked"
2018102102,3092,"punt_blocked"
2018102111,1086,"punt_blocked"
2018102111,3651,"punt_blocked"
2018110403,2668,"punt_blocked"
2018111103,2293,"punt_blocked"
2018120208,1565,"punt_blocked"
2018120906,744,"punt_blocked"
2018122308,3571,"punt_blocked"
2018123015,1505,"punt_blocked"
2018123015,3202,"punt_blocked"
2019090800,3627,"punt_blocked"
2019090804,121,"punt_blocked"
2019090811,130,"punt_blocked"
2019101000,854,"punt_blocked"
2019101302,1332,"punt_blocked"
2019102006,1364,"punt_blocked"
2019102006,2301,"punt_blocked"
2019112802,125,"punt_blocked"
2019121200,3161,"punt_blocked"
2020092012,1066,"punt_blocked"
2020092711,229,"punt_blocked"
2020102513,2276,"punt_blocked"
2020110805,2739,"punt_blocked"
2020110805,3456,"punt_blocked"
2020111200,2925,"punt_blocked"
2020112212,241,"punt_blocked"
2020112900,2755,"punt_blocked"
2020122003,881,"punt_blocked"
2018090600,1850,"punt_downed"
2018090600,3026,"punt_downed"
2018090900,1772,"punt_downed"
2018090901,1723,"punt_downed"
2018090901,313,"punt_downed"
2018090901,3349,"punt_downed"
2018090901,3463,"punt_downed"
2018090901,3960,"punt_downed"
2018090901,474,"punt_downed"
2018090901,4965,"punt_downed"
2018090905,114,"punt_downed"
2018090905,1735,"punt_downed"
2018090905,1992,"punt_downed"
2018090905,4311,"punt_downed"
2018090907,2578,"punt_downed"
2018090912,170,"punt_downed"
2018091000,1407,"punt_downed"
2018091300,2960,"punt_downed"
2018091300,3552,"punt_downed"
2018091600,1638,"punt_downed"
2018091600,3530,"punt_downed"
2018091602,2502,"punt_downed"
2018091605,3318,"punt_downed"
2018091605,3712,"punt_downed"
2018091606,1210,"punt_downed"
2018091606,741,"punt_downed"
2018091607,2357,"punt_downed"
2018091608,2536,"punt_downed"
2018091608,726,"punt_downed"
2018091609,669,"punt_downed"
2018091610,3136,"punt_downed"
2018091612,1138,"punt_downed"
2018091612,2899,"punt_downed"
2018091612,3372,"punt_downed"
2018091613,778,"punt_downed"
2018091700,3889,"punt_downed"
2018092000,1722,"punt_downed"
2018092000,370,"punt_downed"
2018092000,4219,"punt_downed"
2018092301,120,"punt_downed"
2018092301,1207,"punt_downed"
2018092301,3243,"punt_downed"
2018092301,968,"punt_downed"
2018092302,1884,"punt_downed"
2018092303,2178,"punt_downed"
2018092303,755,"punt_downed"
2018092304,2716,"punt_downed"
2018092304,881,"punt_downed"
2018092306,3156,"punt_downed"
2018092307,2036,"punt_downed"
2018092307,2812,"punt_downed"
2018092307,4081,"punt_downed"
2018092308,1173,"punt_downed"
2018092309,1381,"punt_downed"
2018092312,725,"punt_downed"
2018092313,124,"punt_downed"
2018092313,3381,"punt_downed"
2018092400,139,"punt_downed"
2018092400,1727,"punt_downed"
2018092400,771,"punt_downed"
2018092700,4070,"punt_downed"
2018093002,244,"punt_downed"
2018093004,3316,"punt_downed"
2018093004,522,"punt_downed"
2018093005,2062,"punt_downed"
2018093005,207,"punt_downed"
2018093006,192,"punt_downed"
2018093007,881,"punt_downed"
2018093009,313,"punt_downed"
2018093010,3901,"punt_downed"
2018100400,2531,"punt_downed"
2018100700,2315,"punt_downed"
2018100702,989,"punt_downed"
2018100703,263,"punt_downed"
2018100704,4475,"punt_downed"
2018100707,3675,"punt_downed"
2018100707,558,"punt_downed"
2018100709,612,"punt_downed"
2018100710,1687,"punt_downed"
2018100710,3299,"punt_downed"
2018100710,3807,"punt_downed"
2018100710,559,"punt_downed"
2018100711,4076,"punt_downed"
2018100712,2268,"punt_downed"
2018101100,1112,"punt_downed"
2018101400,2602,"punt_downed"
2018101400,2904,"punt_downed"
2018101401,373,"punt_downed"
2018101402,3204,"punt_downed"
2018101402,553,"punt_downed"
2018101403,2303,"punt_downed"
2018101403,325,"punt_downed"
2018101403,3358,"punt_downed"
2018101405,1744,"punt_downed"
2018101405,3864,"punt_downed"
2018101406,1384,"punt_downed"
2018101407,2784,"punt_downed"
